,transcript_file,speaker_code,transcript_clean,is_grammatical,labels,age
5516,Kuczaj/041113.cha,CAR,I really do.,,,59
5517,Kuczaj/041113.cha,CAR,those were good Thanksgiving pictures.,,,59
5518,Kuczaj/041113.cha,CHI,how much people do you think liked them?,-1.0,other,59
5519,Kuczaj/041113.cha,CAR,Jean liked them.,,,59
5520,Kuczaj/041113.cha,CAR,and Lyle liked them.,,,59
5521,Kuczaj/041113.cha,CAR,and I know Daddy liked them.,,,59
5522,Kuczaj/041113.cha,CAR,where are you going?,,,59
5523,Kuczaj/041113.cha,CHI,I have to go poop.,1.0,,59
5524,Kuczaj/041113.cha,CHI,you can't go down there unless you get your bluejeans on.,1.0,,59
5525,Kuczaj/041113.cha,CAR,I can go down right now.,,,59
5526,Kuczaj/041113.cha,CHI,you don't got no bluejeans on.,-1.0,determiner,59
5527,Kuczaj/041113.cha,CAR,I know.,,,59
5528,Kuczaj/041113.cha,CAR,I'm just going down for a second.,,,59
5529,Kuczaj/041113.cha,CAR,we both have to go to the dentist in January.,,,59
5530,Kuczaj/041113.cha,CHI,you got to go in January.,1.0,,59
5531,Kuczaj/041113.cha,CHI,January is when the baby's getting born.,1.0,,59
5532,Kuczaj/041113.cha,CAR,in February.,,,59
5533,Kuczaj/041113.cha,CHI,oh yeah Mom I didn't know farmers would let robins sit in barns.,1.0,,59
5534,Kuczaj/041113.cha,CAR,some do.,,,59
5535,Kuczaj/041113.cha,CHI,huh?,,,59
5536,Kuczaj/041113.cha,CAR,some do.,,,59
5537,Kuczaj/041113.cha,CHI,"of course like Joe he useta run a farm, a neat farm too.",1.0,,59
5538,Kuczaj/041113.cha,CAR,yeah.,,,59
5539,Kuczaj/041113.cha,CHI,I thought it was neat farm.,-1.0,determiner,59
5540,Kuczaj/041113.cha,CAR,it looks like some birds have eaten some of the bread.,,,59
5541,Kuczaj/041113.cha,CHI,I wanna see.,1.0,,59
5542,Kuczaj/041113.cha,CHI,could I see?,1.0,,59
5543,Kuczaj/041113.cha,CAR,sure go look.,,,59
5544,Kuczaj/041113.cha,CHI,you mean some of the birds had a Thanksgiving.,-1.0,determiner,59
5545,Kuczaj/041113.cha,CAR,huh?,,,59
5546,Kuczaj/041113.cha,CHI,one bird had a Thanksgiving when he ate our breads.,-1.0,plural,59
5547,Kuczaj/041113.cha,CAR,uhhuh see that number fifteen Abe?,,,59
5548,Kuczaj/041113.cha,CAR,with the yellow circle around it?,,,59
5549,Kuczaj/041113.cha,CHI,I can't see a yellow circle.,1.0,,59
5550,Kuczaj/041113.cha,CAR,I mean a yellow square.,,,59
5551,Kuczaj/041113.cha,CHI,uhhuh.,,,59
5552,Kuczaj/041113.cha,CAR,guess whose birthday that is.,,,59
5553,Kuczaj/041113.cha,CHI,mine.,,,59
5554,Kuczaj/041113.cha,CHI,how many more days?,1.0,,59
5555,Kuczaj/041113.cha,CAR,seventeen.,,,59
5556,Kuczaj/041113.cha,CHI,oh.,,,59
5557,Kuczaj/041113.cha,CAR,what would you do if I stole all your gifts?,,,59
5558,Kuczaj/041113.cha,CHI,I'd punch you.,1.0,,59
5559,Kuczaj/041113.cha,CAR,I better not do it then.,,,59
5560,Kuczaj/041113.cha,CHI,hey Mommy hey Daddy what did they say about Karen?,1.0,,59
5561,Kuczaj/041113.cha,CAR,she can't come.,,,59
5562,Kuczaj/041113.cha,CAR,know why?,,,59
5563,Kuczaj/041113.cha,CHI,it costs too much.,1.0,,59
5564,Kuczaj/041113.cha,CAR,uhhuh.,,,59
5565,Kuczaj/041113.cha,CHI,why didn't they pay for Karen and then Karen only goes?,-1.0,tense_aspect,59
5566,Kuczaj/041113.cha,CAR,well I suggested that.,,,59
5567,Kuczaj/041113.cha,CAR,but it still costs too much.,,,59
5568,Kuczaj/041113.cha,CHI,hey!,,,59
5569,Kuczaj/041113.cha,CHI,there's thread in my cereal.,1.0,,59
5570,Kuczaj/041113.cha,CHI,I'll show you a piece of thread.,1.0,,59
5571,Kuczaj/041113.cha,CAR,Grandma said.,,,59
5572,Kuczaj/041113.cha,CAR,I spent all my money on as gifts.,,,59
5573,Kuczaj/041113.cha,CAR,and I don't have any left to let Karen fly up.,,,59
5574,Kuczaj/041113.cha,CHI,is that true?,1.0,,59
5575,Kuczaj/041113.cha,CAR,yeah.,,,59
5576,Kuczaj/041113.cha,CHI,hey Mommy.,1.0,,59
5577,Kuczaj/041113.cha,CAR,yeah.,,,59
5578,Kuczaj/041113.cha,CHI,we can put this up after we're done eating.,1.0,,59
5579,Kuczaj/041113.cha,CAR,uhhuh which do you think Mike would like?,,,59
5580,Kuczaj/041113.cha,CAR,a cowboy jacket or a zebra robe?,,,59
5581,Kuczaj/041113.cha,CHI,probably one of those zebra robes and a cowboy jacket.,1.0,,59
5582,Kuczaj/041113.cha,CAR,no it has to one or the other.,,,59
5583,Kuczaj/041113.cha,CHI,how about a cowboy jacket like the one I have?,1.0,,59
5584,Kuczaj/041113.cha,CAR,do you think he'd like it?,,,59
5585,Kuczaj/041113.cha,CHI,except with a different kind of material.,1.0,,59
5586,Kuczaj/041113.cha,CHI,because he likes softest material.,-1.0,"determiner, other",59
5587,Kuczaj/041113.cha,CAR,oh Abe.,,,59
5588,Kuczaj/041113.cha,CHI,I can't talk with my mouth full.,1.0,,59
5589,Kuczaj/041113.cha,CHI,I can't talk now.,1.0,,59
5590,Kuczaj/041113.cha,CHI,I forgot.,1.0,,59
5591,Kuczaj/041113.cha,CHI,I can't laugh with my mouth full.,1.0,,59
5592,Kuczaj/041113.cha,CHI,I can't drink with my mouth full.,1.0,,59
5593,Kuczaj/041113.cha,CHI,and I can't eat with my mouth full.,1.0,,59
5594,Kuczaj/041113.cha,CAR,oh.,,,59
5595,Kuczaj/041113.cha,CHI,Mom how do you think Santa could sneak into our house?,1.0,,59
5596,Kuczaj/041113.cha,CAR,he has magical powers.,,,59
5597,Kuczaj/041113.cha,CHI,no he doesn't.,1.0,,59
