,transcript_file,speaker_code,transcript_clean,is_grammatical,labels,age
8155,Kuczaj/030906.cha,CAR,would we still have had a good time?,,,45
8156,Kuczaj/030906.cha,CHI,yeah.,,,45
8157,Kuczaj/030906.cha,CAR,that's good.,,,45
8158,Kuczaj/030906.cha,CAR,so we don't need candy.,,,45
8159,Kuczaj/030906.cha,CHI,yeah we do need candy.,1.0,,45
8160,Kuczaj/030906.cha,CAR,oh.,,,45
8161,Kuczaj/030906.cha,CHI,sometimes we do.,1.0,,45
8162,Kuczaj/030906.cha,CHI,and sometimes we don't.,1.0,,45
8163,Kuczaj/030906.cha,CHI,you can't see me Dad.,1.0,,45
8164,Kuczaj/030906.cha,CHI,you can't see me Dad.,1.0,,45
8165,Kuczaj/030906.cha,CAR,I sure can't.,,,45
8166,Kuczaj/030906.cha,CAR,where are you?,,,45
8167,Kuczaj/030906.cha,CHI,I'm not going to tell you.,1.0,,45
8168,Kuczaj/030906.cha,CHI,now you can't see me.,1.0,,45
8169,Kuczaj/030906.cha,CHI,don't find me okay?,1.0,,45
8170,Kuczaj/030906.cha,CAR,you don't want me to look for you?,,,45
8171,Kuczaj/030906.cha,CHI,huh?,,,45
8172,Kuczaj/030906.cha,CAR,you don't want me to look for you?,,,45
8173,Kuczaj/030906.cha,CHI,no.,,,45
8174,Kuczaj/030906.cha,CAR,okay Abe what would happen if I never found you?,,,45
8175,Kuczaj/030906.cha,CHI,then I would be hiding in this sleeping bag.,1.0,,45
8176,Kuczaj/030906.cha,CAR,forever and ever?,,,45
8177,Kuczaj/030906.cha,CHI,yeah until it's nighttime.,1.0,,45
8178,Kuczaj/030906.cha,CAR,oh how come you're hiding?,,,45
8179,Kuczaj/030906.cha,CHI,because I don't want anybody to see me.,1.0,,45
8180,Kuczaj/030906.cha,CAR,how come?,,,45
8181,Kuczaj/030906.cha,CHI,because I'm afraid.,1.0,,45
8182,Kuczaj/030906.cha,CAR,of who?,,,45
8183,Kuczaj/030906.cha,CHI,I'm afraid of you.,1.0,,45
8184,Kuczaj/030906.cha,CAR,why?,,,45
8185,Kuczaj/030906.cha,CHI,because.,,,45
8186,Kuczaj/030906.cha,CAR,why?,,,45
8187,Kuczaj/030906.cha,CHI,just because.,1.0,,45
8188,Kuczaj/030906.cha,CHI,I'm afraid of the sleeping bag.,1.0,,45
8189,Kuczaj/030906.cha,CHI,no I'm mad at the sleeping bag.,1.0,,45
8190,Kuczaj/030906.cha,CAR,what?,,,45
8191,Kuczaj/030906.cha,CHI,I'm mad at the sleeping bag.,1.0,,45
8192,Kuczaj/030906.cha,CAR,why?,,,45
8193,Kuczaj/030906.cha,CHI,because I'm mad at myself.,1.0,,45
8194,Kuczaj/030906.cha,CHI,I'm coming out.,1.0,,45
8195,Kuczaj/030906.cha,CHI,I'm going back in.,1.0,,45
8196,Kuczaj/030906.cha,CAR,back in what?,,,45
8197,Kuczaj/030906.cha,CHI,back in the sleeping bag.,1.0,,45
8198,Kuczaj/030906.cha,CHI,Momma doesn't know where the saw is.,1.0,,45
8199,Kuczaj/030906.cha,CHI,and you don't know where my saw is.,1.0,,45
8200,Kuczaj/030906.cha,CHI,and I don't know where my saw is.,1.0,,45
8201,Kuczaj/030906.cha,CAR,how are we going to build your fort then?,,,45
8202,Kuczaj/030906.cha,CHI,how about if you get your saw and I drill?,1.0,,45
8203,Kuczaj/030906.cha,CAR,we should use my saw and your drill?,,,45
8204,Kuczaj/030906.cha,CHI,yeah I fell down.,1.0,,45
8205,Kuczaj/030906.cha,CHI,I fell down.,1.0,,45
8206,Kuczaj/030906.cha,CHI,I fell down.,1.0,,45
8207,Kuczaj/030906.cha,CAR,why?,,,45
8208,Kuczaj/030906.cha,CHI,I wasn't very careful.,1.0,,45
8209,Kuczaj/030906.cha,CHI,I'm not doing anything see?,1.0,,45
8210,Kuczaj/030906.cha,CAR,well why don't you do something?,,,45
8211,Kuczaj/030906.cha,CHI,I keep falling down.,1.0,,45
8212,Kuczaj/030906.cha,CHI,hey I can't get in this sleeping bag you help me okay?,1.0,,45
8213,MacWhinney/021001a.cha,CAR,and Ross and I have been talking a lot about Halloween.,,,34
8214,MacWhinney/021001a.cha,CAR,do you have anything else to say about Halloween Ross?,,,34
8215,MacWhinney/021001a.cha,CHI,the Hulk's not for Halloween.,1.0,,34
8216,MacWhinney/021001a.cha,CAR,the Hulk's not for Halloween?,,,34
8217,MacWhinney/021001a.cha,CAR,now what are the what are the ghosts going to bring you?,,,34
8218,MacWhinney/021001a.cha,CAR,what are the ghosts going to bring?,,,34
8219,MacWhinney/021001a.cha,CAR,"five, what?",,,34
8220,MacWhinney/021001a.cha,CAR,what?,,,34
8221,MacWhinney/021001a.cha,CAR,what do they bring?,,,34
8222,MacWhinney/021001a.cha,CHI,lego blocks.,1.0,,34
8223,MacWhinney/021001a.cha,CAR,lego blocks?,,,34
8224,MacWhinney/021001a.cha,CAR,no the witch is going to bring you lego blocks.,,,34
8225,MacWhinney/021001a.cha,CHI,yeah.,,,34
8226,MacWhinney/021001a.cha,CAR,and what are the ghosts going to bring?,,,34
8227,MacWhinney/021001a.cha,CHI,and they bring they bring me blockses.,-1.0,tense_aspect,34
8228,MacWhinney/021001a.cha,CAR,blockses?,,,34
8229,MacWhinney/021001a.cha,CAR,no they're going to bring you Fritos.,,,34
8230,MacWhinney/021001a.cha,CAR,Fritos.,,,34
8231,MacWhinney/021001a.cha,CAR,and what about Spidey?,,,34
8232,MacWhinney/021001a.cha,CHI,Spidey don't have no more money.,-1.0,"sv_agreement, determiner",34
8233,MacWhinney/021001a.cha,CAR,no Spidey doesn't have any money so he's not going to get anything.,,,34
8234,MacWhinney/021001a.cha,CAR,and what about the Hulk?,,,34
8235,MacWhinney/021001a.cha,CAR,is he going to bring you something?,,,34
8236,MacWhinney/021001a.cha,CHI,yeah.,,,34
8237,MacWhinney/021001a.cha,CAR,maybe.,,,34
8238,MacWhinney/021001a.cha,CAR,maybe.,,,34
8239,MacWhinney/021001a.cha,CHI,yeah.,,,34
8240,MacWhinney/021001a.cha,CAR,what?,,,34
8241,MacWhinney/021001a.cha,CAR,chocolate?,,,34
8242,MacWhinney/021001a.cha,CHI,yeah.,,,34
8243,MacWhinney/021001a.cha,CAR,you have some candy?,,,34
8244,MacWhinney/021001a.cha,CHI,the Hulk don't like chocolate.,-1.0,sv_agreement,34
8245,MacWhinney/021001a.cha,CAR,no but he likes Hulk cakes.,,,34
8246,MacWhinney/021001a.cha,CHI,yeah.,,,34
8247,MacWhinney/021001a.cha,CAR,he might bring you some cake.,,,34
8248,MacWhinney/021001a.cha,CAR,and how about this nice little hippo?,,,34
8249,MacWhinney/021001a.cha,CAR,is he a ghost?,,,34
8250,MacWhinney/021001a.cha,CHI,yeah.,,,34
8251,MacWhinney/021001a.cha,CAR,and the doggy's a ghost.,,,34
8252,MacWhinney/021001a.cha,CHI,yeah.,,,34
8253,MacWhinney/021001a.cha,CAR,but Snoopy's not a ghost right?,,,34
8254,MacWhinney/021001a.cha,CHI,no.,,,34
8255,MacWhinney/021001a.cha,CAR,why not?,,,34
8256,MacWhinney/021001a.cha,CHI,ghostses and Snoopy is my friend.,-1.0,sv_agreement,34
8257,MacWhinney/021001a.cha,CAR,Snoopy's your friend and.,,,34
8258,MacWhinney/021001a.cha,CHI,this is Snoopy.,1.0,,34
8259,MacWhinney/021001a.cha,CAR,that's Snoopy yeah.,,,34
8260,MacWhinney/021001a.cha,CHI,yeah.,,,34
8261,MacWhinney/021001a.cha,CAR,but he's a little ghost right?,,,34
8262,MacWhinney/021001a.cha,CHI,right.,,,34
8263,MacWhinney/021001a.cha,CAR,what do ghosts do?,,,34
8264,MacWhinney/021001a.cha,CHI,go whoooo.,1.0,,34
8265,MacWhinney/021001a.cha,CAR,oh they go like that?,,,34
8266,MacWhinney/021001a.cha,CHI,yeah.,,,34
8267,MacWhinney/021001a.cha,CAR,uh huh.,,,34
8268,MacWhinney/021001a.cha,CAR,and where do they live?,,,34
8269,MacWhinney/021001a.cha,CHI,at Halloween.,1.0,,34
8270,MacWhinney/021001a.cha,CAR,where does the witch live?,,,34
8271,MacWhinney/021001a.cha,CHI,at Halloween.,1.0,,34
8272,MacWhinney/021001a.cha,CAR,where does she go with her broom?,,,34
8273,MacWhinney/021001a.cha,CHI,a cat with her her broom.,0.0,,34
8274,MacWhinney/021001a.cha,CAR,uh huh but where does she go?,,,34
8275,MacWhinney/021001a.cha,CAR,where does she ride to?,,,34
8276,MacWhinney/021001a.cha,CHI,ride at Halloween.,-1.0,"subject, preposition",34
8277,MacWhinney/021001a.cha,CAR,up to the moon.,,,34
8278,MacWhinney/021001a.cha,CAR,she goes up to the moon.,,,34
8279,MacWhinney/021001a.cha,CHI,yeah.,,,34
8280,MacWhinney/021001a.cha,CHI,and she been to the moon.,-1.0,auxiliary,34
8281,MacWhinney/021001a.cha,CAR,mm hm and she's nice right?,,,34
8282,MacWhinney/021001a.cha,CHI,yeah.,,,34
8283,MacWhinney/021001a.cha,CAR,and she just says horrible things right?,,,34
8284,MacWhinney/021001a.cha,CHI,yeah.,,,34
8285,MacWhinney/021001a.cha,CAR,but she's not really horrible.,,,34
8286,MacWhinney/021001a.cha,CHI,she wears funny clothes.,1.0,,34
8287,MacWhinney/021001a.cha,CAR,she wears really silly clothes.,,,34
8288,MacWhinney/021001a.cha,CHI,yeah.,,,34
8289,MacWhinney/021001a.cha,CHI,will you put his hat on?,1.0,,34
8290,MacWhinney/021001a.cha,CHI,and don't forget Marky's coat.,1.0,,34
8291,MacWhinney/021001a.cha,CHI,don't carry Marky because Marky might get snow on Marky's socks.,1.0,,34
8292,MacWhinney/021001a.cha,CHI,I want my um I want my I don't know how to say it um I want my thing.,1.0,,34
8293,MacWhinney/021001a.cha,CAR,you mean you want your scab?,,,34
8294,MacWhinney/021001a.cha,CHI,no don't say scab.,0.0,,34
8295,MacWhinney/021001a.cha,CHI,I want my thing.,1.0,,34
8296,MacWhinney/021001a.cha,CAR,point so you can show me where it is.,,,34
8297,MacWhinney/021001a.cha,CHI,I want my noisy choo choo train.,1.0,,34
