,transcript_file,speaker_code,transcript_clean,is_grammatical,labels
612,TD/dirk2.cha,CHI,fall down.,0,
613,TD/dirk2.cha,CAR,good night now.,,
614,TD/dirk2.cha,CHI,good night now.,1,
615,TD/dirk2.cha,CAR,see you later.,,
616,TD/dirk2.cha,CHI,see you later.,1,
617,TD/dirk2.cha,CAR,someone is riding on the horse.,,
618,TD/dirk2.cha,CAR,he's rocking.,,
619,TD/dirk2.cha,CAR,rock rock.,,
620,TD/dirk2.cha,CHI,someone go in the chair.,-1,sv_agreement
621,TD/dirk2.cha,CAR,someone goes in the chair.,,
622,TD/dirk2.cha,CHI,someone go upstairs.,-1,sv_agreement
623,TD/dirk2.cha,CAR,someone goes upstairs.,,
624,TD/dirk2.cha,CHI,man go upstairs.,-1,"determiner, sv_agreement"
625,TD/dirk2.cha,CAR,the man goes upstairs?,,
626,TD/dirk2.cha,CHI,lady go upstairs.,-1,sv_agreement
627,TD/dirk2.cha,CAR,the lady goes upstairs.,,
628,TD/dirk2.cha,CHI,all people.,-1,"verb, determiner"
629,TD/dirk2.cha,CAR,all the people?,,
630,TD/dirk2.cha,CHI,all people.,-1,"verb, determiner"
631,TD/dirk2.cha,CHI,lady go upstairs.,-1,sv_agreement
632,TD/dirk2.cha,CAR,who?,,
633,TD/dirk2.cha,CHI,a man.,1,
634,TD/dirk2.cha,CHI,oh this.,1,
635,TD/dirk2.cha,CAR,how about?,,
636,TD/dirk2.cha,CAR,there is a mess in the garage.,,
637,TD/dirk2.cha,CAR,let's put the garage door up and get the car out.,,
638,TD/dirk2.cha,CAR,then they can go somewhere else car.,,
639,TD/dirk2.cha,CAR,car.,,
640,TD/dirk2.cha,CAR,here comes the car.,,
641,TD/dirk2.cha,CAR,who is going in the car?,,
642,TD/dirk2.cha,CHI,this people.,-1,determiner
643,TD/dirk2.cha,CAR,this people that's the father.,,
644,TD/dirk2.cha,CAR,here is another father.,,
645,TD/dirk2.cha,CHI,father.,,
646,TD/dirk2.cha,CAR,he's going to ride in the car.,,
647,TD/dirk2.cha,CAR,he can get one of the cars.,,
648,TD/dirk2.cha,CAR,here is one.,,
649,TD/dirk2.cha,CAR,two two fathers can ride in here.,,
650,TD/dirk2.cha,CAR,Kim and Steph are banging the doors.,,
651,TD/dirk2.cha,CAR,where are they gone huh?,,
652,TD/dirk2.cha,CHI,someone go.,-1,sv_agreement
653,TD/dirk2.cha,CHI,go.,,
654,TD/dirk2.cha,CAR,somebody goes in there.,,
655,TD/dirk2.cha,CAR,here is another car he can use.,,
656,TD/dirk2.cha,CAR,oh here is a tractor.,,
657,TD/dirk2.cha,CAR,here is the wagon that someone can ride in.,,
658,TD/dirk2.cha,CAR,there.,,
659,TD/dirk2.cha,CAR,who wants to sit in the wagon?,,
660,TD/dirk2.cha,CAR,the boy.,,
661,TD/dirk2.cha,CAR,the lady.,,
662,TD/dirk2.cha,CHI,the man.,1,
663,TD/dirk2.cha,CAR,the man.,,
664,TD/dirk2.cha,CHI,someone ride in wagon.,-1,present_progressive
665,TD/dirk2.cha,CAR,someone rides in the wagon.,,
666,TD/dirk2.cha,CHI,all people.,-1,determiner
667,TD/dirk2.cha,CAR,all the people.,,
668,TD/dirk2.cha,CAR,is that lamb going to ride the wagon?,,
669,TD/dirk2.cha,CAR,the tractor?,,
670,TD/dirk2.cha,CAR,here they go.,,
671,TD/dirk2.cha,CAR,what?,,
672,TD/dirk2.cha,CHI,store.,,
673,TD/dirk2.cha,CAR,go to the store?,,
674,TD/dirk2.cha,CAR,is this the store?,,
675,TD/dirk2.cha,CHI,ya.,,
676,TD/dirk2.cha,CAR,by me okay.,,
677,TD/dirk2.cha,CAR,the lady goes to the store.,,
678,TD/dirk2.cha,CHI,to the store.,1,
679,TD/dirk2.cha,CAR,man at the store.,,
680,TD/dirk2.cha,CHI,ya.,,
681,TD/dirk2.cha,CHI,that thing.,0,
682,TD/dirk2.cha,CAR,that's not a thing.,,
683,TD/dirk2.cha,CAR,this is a boy see?,,
684,TD/dirk2.cha,CAR,look at his grumpy face.,,
685,TD/dirk2.cha,CHI,that thing.,0,
686,TD/dirk2.cha,CAR,there is a dog over here.,,
687,TD/dirk2.cha,CHI,someone ride in here.,-1,present_progressive
688,TD/dirk2.cha,CAR,someone ride in there.,,
689,TD/dirk2.cha,CAR,soon.,,
690,TD/dirk2.cha,CAR,oh oh it came apart.,,
691,TD/dirk2.cha,CAR,can you fix it?,,
692,TD/dirk2.cha,CAR,can you help?,,
693,TD/dirk2.cha,CAR,good.,,
694,TD/dirk2.cha,CHI,this go right here.,-1,sv_agreement
695,TD/dirk2.cha,CAR,this goes right here.,,
696,TD/dirk2.cha,CAR,good.,,
697,TD/dirk2.cha,CHI,lady do that.,-1,"determiner, present_progressive"
698,TD/dirk2.cha,CAR,what lady?,,
699,TD/dirk2.cha,CHI,I want.,-1,object
700,TD/dirk2.cha,CAR,what did the lady?,,
701,TD/dirk2.cha,CHI,store.,,
702,TD/dirk2.cha,CAR,do you want her by the store?,,
703,TD/dirk2.cha,CHI,ya.,,
704,TD/dirk2.cha,CAR,what's she going to do now?,,
705,TD/dirk2.cha,CHI,go.,,
706,TD/dirk2.cha,CAR,go?,,
707,TD/dirk2.cha,CHI,go.,,
708,TD/dirk2.cha,CAR,where?,,
709,TD/dirk2.cha,CHI,here.,,
710,TD/dirk2.cha,CAR,what?,,
711,TD/dirk2.cha,CAR,oh careful on there.,,
712,TD/dirk2.cha,CAR,that makes a loud noise when you put it on there.,,
713,TD/dirk2.cha,CAR,okay.,,
714,TD/dirk2.cha,CHI,that lady go up there.,-1,present_progressive
715,TD/dirk2.cha,CAR,this lady goes up there.,,
716,TD/dirk2.cha,CAR,careful.,,
717,TD/dirk2.cha,CHI,boy lady in there.,-1,"determiner, verb"
718,TD/dirk2.cha,CAR,where is she gone?,,
719,TD/dirk2.cha,CAR,where?,,
720,TD/dirk2.cha,CHI,peeking out.,-1,"subject, auxiliary"
721,TD/dirk2.cha,CAR,who is peeking out?,,
722,TD/dirk2.cha,CHI,people.,,
723,TD/dirk2.cha,CAR,people.,,
724,TD/dirk2.cha,CHI,all.,,
725,TD/dirk2.cha,CHI,people.,,
726,TD/dirk2.cha,CAR,all the people?,,
727,TD/dirk2.cha,CHI,all the people.,1,
728,TD/dirk2.cha,CHI,horsie.,,
729,TD/dirk2.cha,CAR,horsie goes in there too?,,
730,TD/dirk2.cha,CHI,peek out.,0,
731,TD/dirk2.cha,CAR,peek out.,,
732,TD/dirk2.cha,CAR,he is too big to go on the steps.,,
733,TD/dirk2.cha,CHI,people.,,
734,TD/dirk2.cha,CAR,mhm.,,
735,TD/dirk2.cha,CHI,all people.,-1,determiner
736,TD/dirk2.cha,CAR,yes.,,
737,TD/dirk2.cha,CAR,well.,,
738,TD/dirk2.cha,CAR,your sister is closing the doors upstairs.,,
739,TD/dirk2.cha,CAR,it's too loud.,,
740,TD/dirk2.cha,CAR,you have to open the door if you wanna go in.,,
741,TD/dirk2.cha,CHI,some people go right there.,1,
742,TD/dirk2.cha,CAR,some people go right there.,,
743,TD/dirk2.cha,CAR,these two go to the airport on a jet.,,
744,TD/dirk2.cha,CHI,these people go there.,1,
745,TD/dirk2.cha,CAR,ya.,,
746,TD/dirk2.cha,CAR,no those these.,,
747,TD/dirk2.cha,CAR,this one is the stewardess.,,
748,TD/dirk2.cha,CAR,can you make it stewardess?,,
749,TD/dirk2.cha,CHI,ya.,,
750,TD/dirk2.cha,CAR,I'll hold her if you want.,,
751,TD/dirk2.cha,CAR,that man drives the gas truck right here.,,
752,TD/dirk2.cha,CAR,I have to ask your sister to be quiet again.,,
753,TD/dirk2.cha,CAR,you just play with me okay?,,
754,TD/dirk2.cha,CHI,what that?,-1,auxiliary
755,TD/dirk2.cha,CAR,that's a little microphone.,,
756,TD/dirk2.cha,CAR,can you say that?,,
757,TD/dirk2.cha,CHI,microphone.,,
758,TD/dirk2.cha,CAR,very good.,,
759,TD/dirk2.cha,CAR,sit down now.,,
760,TD/dirk2.cha,CAR,it will make a big loud noise when they sit down.,,
761,TD/dirk2.cha,CAR,on the tape.,,
762,TD/dirk2.cha,CAR,come on.,,
763,TD/dirk2.cha,CHI,Stephie do that.,-1,present_progressive
764,TD/dirk2.cha,CAR,Stephie did.,,
765,TD/dirk2.cha,CAR,what's she doing?,,
766,TD/dirk2.cha,CHI,put this on.,0,
