,transcript_file,speaker_code,transcript_clean,is_grammatical,labels
8828,Thomas/021005.cha,CAR,it says.,,
8829,Thomas/021005.cha,CAR,dear Thomas.,,
8830,Thomas/021005.cha,CAR,will you come to my party.,,
8831,Thomas/021005.cha,CAR,on the twenty third of February between two and four.,,
8832,Thomas/021005.cha,CAR,from Charlotte.,,
8833,Thomas/021005.cha,CAR,r s v p.,,
8834,Thomas/021005.cha,CAR,and it gives her phone number.,,
8835,Thomas/021005.cha,CAR,oh look.,,
8836,Thomas/021005.cha,CAR,and there's a nice little bit at the bottom.,,
8837,Thomas/021005.cha,CAR,because it says.,,
8838,Thomas/021005.cha,CAR,I will or will not be able to come to your party.,,
8839,Thomas/021005.cha,CAR,so we can write dear Charlotte from Thomas.,,
8840,Thomas/021005.cha,CHI,that's Mummy.,1,
8841,Thomas/021005.cha,CAR,is it?,,
8842,Thomas/021005.cha,CHI,yeah.,,
8843,Thomas/021005.cha,CAR,let's just see what.,,
8844,Thomas/021005.cha,CHI,that's Thomas.,1,
8845,Thomas/021005.cha,CAR,is it?,,
8846,Thomas/021005.cha,CAR,let's just see what day the twenty third is.,,
8847,Thomas/021005.cha,CHI,twenty third is Christmas.,-1,determiner
8848,Thomas/021005.cha,CAR,no.,,
8849,Thomas/021005.cha,CAR,twenty third of February isn't Christmas.,,
8850,Thomas/021005.cha,CAR,the twenty fifth of December is Christmas.,,
8851,Thomas/021005.cha,CAR,right.,,
8852,Thomas/021005.cha,CAR,let's get the calendar out.,,
8853,Thomas/021005.cha,CAR,twenty third.,,
8854,Thomas/021005.cha,CAR,oh no.,,
8855,Thomas/021005.cha,CAR,it's a Wednesday.,,
8856,Thomas/021005.cha,CAR,Mummy works on Wednesdays.,,
8857,Thomas/021005.cha,CAR,oh dear dear.,,
8858,Thomas/021005.cha,CAR,twenty third of February.,,
8859,Thomas/021005.cha,CAR,well perhaps Mummy can swap her day of work.,,
8860,Thomas/021005.cha,CAR,how about that?,,
8861,Thomas/021005.cha,CHI,yes?,,
8862,Thomas/021005.cha,CAR,shall Mummy try and go to work on Thursday.,,
8863,Thomas/021005.cha,CHI,it's Thursday now.,1,
8864,Thomas/021005.cha,CAR,we'll try Mummy try and swap her day of work so you can go to a party.,,
8865,Thomas/021005.cha,CAR,perhaps she's having it on a Wednesday because she knows I'm at work and we can't go.,,
8866,Thomas/021005.cha,CAR,so we'll teach her.,,
8867,Thomas/021005.cha,CHI,bang your head.,0,
8868,Thomas/021005.cha,CHI,bang your head.,0,
8869,Thomas/021005.cha,CAR,did we?,,
8870,Thomas/021005.cha,CAR,right.,,
8871,Thomas/021005.cha,CAR,shall we write that on the calendar then?,,
8872,Thomas/021005.cha,CHI,no.,,
8873,Thomas/021005.cha,CAR,no?,,
8874,Thomas/021005.cha,CAR,I'd like to.,,
8875,Thomas/021005.cha,CHI,I want a chocolate.,1,
8876,Thomas/021005.cha,CHI,a Sister Eileen chocolate.,1,
8877,Thomas/021005.cha,CAR,you'd like a Sister Eileen chocolate would you?,,
8878,Thomas/021005.cha,CHI,yes please.,1,
8879,Thomas/021005.cha,CAR,well I'm going to write this on the calendar.,,
8880,Thomas/021005.cha,CHI,you've eaten Sister Eileen chocolates?,0,
8881,Thomas/021005.cha,CAR,well I haven't eaten them all.,,
8882,Thomas/021005.cha,CAR,no.,,
8883,Thomas/021005.cha,CAR,Charlotte's.,,
8884,Thomas/021005.cha,CHI,twenty three.,1,
