,transcript_file,speaker_code,transcript_clean,is_grammatical,labels
15145,EllisWeismer/LT/30pc/22098.cha,CAR,oh is he saying where's my mommy?,,
15146,EllisWeismer/LT/30pc/22098.cha,CHI,my mommy go here.,-1,"tense_aspect, sv_agreement"
15147,EllisWeismer/LT/30pc/22098.cha,CAR,oh.,,
15148,EllisWeismer/LT/30pc/22098.cha,CAR,what other animals are there?,,
15149,EllisWeismer/LT/30pc/22098.cha,CAR,do you wanna make the fence?,,
15150,EllisWeismer/LT/30pc/22098.cha,CAR,here.,,
15151,EllisWeismer/LT/30pc/22098.cha,CAR,the fence hooks together.,,
15152,EllisWeismer/LT/30pc/22098.cha,CAR,oh the sheep are making lots of noise.,,
15153,EllisWeismer/LT/30pc/22098.cha,CAR,oh look look what else there is.,,
15154,EllisWeismer/LT/30pc/22098.cha,CAR,should we make the fence?,,
15155,EllisWeismer/LT/30pc/22098.cha,CAR,okay.,,
15156,EllisWeismer/LT/30pc/22098.cha,CHI,mommy want open this house.,-1,subject
15157,EllisWeismer/LT/30pc/22098.cha,CAR,you wanna open the door?,,
15158,EllisWeismer/LT/30pc/22098.cha,CAR,okay.,,
15159,EllisWeismer/LT/30pc/22098.cha,CAR,the chicken going to jump out?,,
15160,EllisWeismer/LT/30pc/22098.cha,CHI,no.,,
15161,EllisWeismer/LT/30pc/22098.cha,CAR,no.,,
15162,EllisWeismer/LT/30pc/22098.cha,CHI,chicken stay here.,-1,"determiner, tense_aspect"
15163,EllisWeismer/LT/30pc/22098.cha,CAR,the chicken's going to stay in the nest.,,
15164,EllisWeismer/LT/30pc/22098.cha,CAR,chicken going night night.,,
15165,EllisWeismer/LT/30pc/22098.cha,CAR,the chicken going night night.,,
15166,EllisWeismer/LT/30pc/22098.cha,CAR,go night night in the barn.,,
15167,EllisWeismer/LT/30pc/22098.cha,CAR,there.,,
15168,EllisWeismer/LT/30pc/22098.cha,CAR,night night.,,
15169,EllisWeismer/LT/30pc/22098.cha,CAR,you wanna see some of these other animals?,,
15170,EllisWeismer/LT/30pc/22098.cha,CHI,that right there.,0,
15171,EllisWeismer/LT/30pc/22098.cha,CAR,yeah.,,
15172,EllisWeismer/LT/30pc/22098.cha,CAR,who else is there?,,
15173,EllisWeismer/LT/30pc/22098.cha,CAR,oh a mom and a baby cow.,,
15174,EllisWeismer/LT/30pc/22098.cha,CAR,oh should we give them something to eat?,,
15175,EllisWeismer/LT/30pc/22098.cha,CAR,should we give them something to eat?,,
15176,EllisWeismer/LT/30pc/22098.cha,CAR,hay yum yum yum.,,
15177,EllisWeismer/LT/30pc/22098.cha,CHI,moo.,,
15178,EllisWeismer/LT/30pc/22098.cha,CAR,moo.,,
15179,EllisWeismer/LT/30pc/22098.cha,CHI,moo moo.,0,
15180,EllisWeismer/LT/30pc/22098.cha,CAR,is he calling for some food?,,
15181,EllisWeismer/LT/30pc/22098.cha,CAR,he's so hungry.,,
15182,EllisWeismer/LT/30pc/22098.cha,CAR,where's the farmer?,,
15183,EllisWeismer/LT/30pc/22098.cha,CAR,here comes the farmer.,,
15184,EllisWeismer/LT/30pc/22098.cha,CAR,he'll give him some food.,,
15185,EllisWeismer/LT/30pc/22098.cha,CHI,no food.,0,
15186,EllisWeismer/LT/30pc/22098.cha,CAR,no?,,
15187,EllisWeismer/LT/30pc/22098.cha,CAR,oh but he said he's hungry.,,
15188,EllisWeismer/LT/30pc/22098.cha,CHI,neigh neigh.,0,
15189,EllisWeismer/LT/30pc/22098.cha,CAR,neigh neigh.,,
15190,EllisWeismer/LT/30pc/22098.cha,CHI,this horse.,0,
15191,EllisWeismer/LT/30pc/22098.cha,CAR,that's the horse.,,
15192,EllisWeismer/LT/30pc/22098.cha,CAR,oh there are some horses too aren't there?,,
15193,EllisWeismer/LT/30pc/22098.cha,CAR,oh you're going to give the baby sheep the hay.,,
15194,EllisWeismer/LT/30pc/22098.cha,CHI,hey mommy.,1,
15195,Braunwald/0diary/020503.cha,CHI,I wonder when Susie coming.,-1,present_progressive
15196,Braunwald/0diary/020503.cha,CAR,Susie's not coming.,,
15197,Braunwald/0diary/020503.cha,CHI,or Judie.,1,
15198,Braunwald/0diary/020503.cha,CAR,Judie's not coming.,,
15199,Braunwald/0diary/020503.cha,CAR,a new friend is coming.,,
15200,Braunwald/0diary/020503.cha,CHI,who?,,
15201,Braunwald/0diary/020503.cha,CAR,Missus Childress.,,
15202,Gelman/2014-IndDiff/55C-P1.cha,CAR,what does that look like?,,
15203,Gelman/2014-IndDiff/55C-P1.cha,CHI,cake piece.,-1,determiner
