,transcript_file,speaker_code,transcript_clean,is_grammatical,labels,age
3697,Suppes/021006.cha,CAR,they must be pretty hungry.,,,34
3698,Suppes/021006.cha,CAR,you sure are giving them a lot of food.,,,34
3699,Suppes/021006.cha,CHI,for to eat.,-1.0,preposition,34
3700,Suppes/021006.cha,CHI,now give the dog some food.,0.0,,34
3701,Suppes/021006.cha,CHI,because the dog.,-1.0,preposition,34
3702,Suppes/021006.cha,CHI,because the dog.,-1.0,preposition,34
3703,Suppes/021006.cha,CHI,are you making a dog?,1.0,,34
3704,Suppes/021006.cha,CHI,what that?,-1.0,verb,34
3705,Suppes/021006.cha,CAR,that's a dog.,,,34
3706,Suppes/021006.cha,CHI,that's a funny looking dog.,1.0,,34
3707,Suppes/021006.cha,CAR,it's a little dog.,,,34
3708,Suppes/021006.cha,CHI,yeah.,,,34
3709,Suppes/021006.cha,CHI,cause he's eating his food.,1.0,,34
3710,Suppes/021006.cha,CHI,now what we should make?,-1.0,auxiliary,34
3711,Suppes/021006.cha,CHI,some more dog food?,1.0,,34
3712,Suppes/021006.cha,CHI,now what we should make?,-1.0,auxiliary,34
3713,Suppes/021006.cha,CAR,oh I don't know.,,,34
3714,Suppes/021006.cha,CAR,what's fun to make with play dough?,,,34
3715,Suppes/021006.cha,CHI,pancake.,,,34
3716,Suppes/021006.cha,CAR,who's going to eat the pancakes?,,,34
3717,Suppes/021006.cha,CHI,I am.,1.0,,34
3718,Suppes/021006.cha,CAR,shall we make big ones or little ones?,,,34
3719,Suppes/021006.cha,CHI,big one.,-1.0,plural,34
3720,Suppes/021006.cha,CHI,this is a big one for me.,1.0,,34
3721,Suppes/021006.cha,CHI,this this is for the dog.,1.0,,34
3722,Suppes/021006.cha,CAR,what's.,,,34
3723,Suppes/021006.cha,CAR,what are you making?,,,34
3724,Suppes/021006.cha,CHI,there.,,,34
3725,Suppes/021006.cha,CAR,oh.,,,34
3726,Suppes/021006.cha,CHI,there is food.,1.0,,34
