,transcript_file,speaker_code,transcript_clean,is_grammatical,labels,age
12339,NewEngland/32/19.cha,CHI,you read it.,0.0,,32
12340,NewEngland/32/19.cha,CAR,what's what what can you recognize in this picture?,,,32
12341,NewEngland/32/19.cha,CAR,what's that?,,,32
12342,NewEngland/32/19.cha,CHI,two bunnys.,1.0,,32
12343,NewEngland/32/19.cha,CAR,yeah.,,,32
12344,NewEngland/32/19.cha,CAR,I think this is the daddy bunny.,,,32
12345,NewEngland/32/19.cha,CAR,he's got the tie on.,,,32
12346,NewEngland/32/19.cha,CAR,and this must be the child bunny.,,,32
12347,NewEngland/32/19.cha,CAR,what kind of this is a couch and a lamp.,,,32
12348,NewEngland/32/19.cha,CAR,this one says door and house.,,,32
12349,NewEngland/32/19.cha,CAR,and this says sun.,,,32
12350,NewEngland/32/19.cha,CAR,I'm a little bunny.,,,32
12351,NewEngland/32/19.cha,CAR,my name is Frannie.,,,32
12352,NewEngland/32/19.cha,CAR,so what do you what do you see in this picture that you know?,,,32
12353,NewEngland/32/19.cha,CAR,what does Frannie have?,,,32
12354,NewEngland/32/19.cha,CHI,I don't know.,1.0,,32
12355,NewEngland/32/19.cha,CAR,you don't know.,,,32
12356,NewEngland/32/19.cha,CAR,what's the what's he.,,,32
12357,NewEngland/32/19.cha,CAR,little hand.,,,32
12358,NewEngland/32/19.cha,CAR,look at his slippers with the bunny on top.,,,32
12359,NewEngland/32/19.cha,CAR,hi Matt.,,,32
12360,NewEngland/32/19.cha,CAR,a toy and a bathrobe and a rug.,,,32
12361,NewEngland/32/19.cha,CAR,this is his room.,,,32
12362,NewEngland/32/19.cha,CAR,locks and a bed and a bug and a blanket.,,,32
12363,NewEngland/32/19.cha,CAR,and a window.,,,32
12364,NewEngland/32/19.cha,CAR,and a sun and a curtain.,,,32
12365,NewEngland/32/19.cha,CAR,I brush my teeth when I get up.,,,32
12366,NewEngland/32/19.cha,CAR,look at him brushing his teeth.,,,32
12367,NewEngland/32/19.cha,CAR,toothpaste.,,,32
12368,NewEngland/32/19.cha,CAR,what do you see in this picture?,,,32
12369,NewEngland/32/19.cha,CHI,he he has a sad face.,1.0,,32
12370,NewEngland/32/19.cha,CAR,yeah.,,,32
12371,NewEngland/32/19.cha,CAR,you think he's sad.,,,32
12372,NewEngland/32/19.cha,CAR,why do you think he feels so sad?,,,32
12373,NewEngland/32/19.cha,CHI,because his father left.,1.0,,32
12374,NewEngland/32/19.cha,CAR,yeah.,,,32
12375,NewEngland/32/19.cha,CAR,without kissing him goodbye this morning?,,,32
12376,NewEngland/32/19.cha,CHI,yeah.,,,32
12377,NewEngland/32/19.cha,CAR,guess what?,,,32
12378,NewEngland/32/19.cha,CHI,what?,,,32
12379,NewEngland/32/19.cha,CAR,when daddy went to work this morning?,,,32
12380,NewEngland/32/19.cha,CHI,what?,,,32
12381,NewEngland/32/19.cha,CAR,and um you were still sleeping in your bed?,,,32
12382,NewEngland/32/19.cha,CHI,yeah.,,,32
12383,NewEngland/32/19.cha,CAR,you know what your daddy did?,,,32
12384,NewEngland/32/19.cha,CHI,what?,,,32
12385,NewEngland/32/19.cha,CAR,he went up to your bed and he peeked in and while you were sleeping he kissed you like this.,,,32
12386,NewEngland/32/19.cha,CAR,and he came back down and he said to me he said Mommy he says Andy's still sleeping he said but I'll make sure to tell him that I gave him a kiss this morning.,,,32
12387,NewEngland/32/19.cha,CHI,a toothbrush.,0.0,,32
12388,NewEngland/32/19.cha,CAR,you think it's a toothbrush?,,,32
12389,NewEngland/32/19.cha,CHI,yeah.,,,32
12390,NewEngland/32/19.cha,CHI,it is a toothbrush.,1.0,,32
12391,NewEngland/32/19.cha,CAR,it is a toothbrush.,,,32
12392,NewEngland/32/19.cha,CAR,and there's some soap?,,,32
12393,NewEngland/32/19.cha,CHI,yeah.,,,32
12394,NewEngland/32/19.cha,CAR,and a glass.,,,32
12395,NewEngland/32/19.cha,CAR,and a comb.,,,32
12396,NewEngland/32/19.cha,CAR,and there's the bug.,,,32
12397,NewEngland/32/19.cha,CAR,can you find the bug in this picture?,,,32
12398,NewEngland/32/19.cha,CAR,where's the the bug is hiding in that other picture.,,,32
12399,NewEngland/32/19.cha,CAR,hi!,,,32
12400,NewEngland/32/19.cha,CHI,see?,,,32
12401,NewEngland/32/19.cha,CAR,hi.,,,32
12402,NewEngland/32/19.cha,CAR,here's the here's the bug in this picture.,,,32
12403,NewEngland/32/19.cha,CAR,see if you can find the bug in this picture.,,,32
12404,NewEngland/32/19.cha,CAR,do you see where he is?,,,32
12405,NewEngland/32/19.cha,CHI,yep.,,,32
12406,NewEngland/32/19.cha,CAR,where is he?,,,32
12406,NewEngland/32/19.cha,CAR,haha.,,,32
12407,NewEngland/32/19.cha,CAR,he was hiding behind the sink.,,,32
12408,NewEngland/32/19.cha,CAR,let's turn the page and see if the bug's in this picture too.,,,32
12409,NewEngland/32/19.cha,CAR,can you find him in this picture?,,,32
12410,NewEngland/32/19.cha,CAR,ah there he is.,,,32
12411,NewEngland/32/19.cha,CAR,he's hiding in the sock.,,,32
12412,NewEngland/32/19.cha,CAR,what do you see in this picture that you know?,,,32
12413,NewEngland/32/19.cha,CAR,there's the bunny.,,,32
12414,NewEngland/32/19.cha,CAR,yeah.,,,32
12415,NewEngland/32/19.cha,CAR,and what kind of clothes are these?,,,32
12416,NewEngland/32/19.cha,CAR,there's a sweater.,,,32
12417,NewEngland/32/19.cha,CAR,what's this?,,,32
12418,NewEngland/32/19.cha,CHI,I don't know.,1.0,,32
12419,NewEngland/32/19.cha,CAR,no you don't know?,,,32
12420,NewEngland/32/19.cha,CAR,how about.,,,32
12421,NewEngland/32/19.cha,CHI,pants.,,,32
12422,NewEngland/32/19.cha,CAR,I would say that's pants.,,,32
12423,NewEngland/32/19.cha,CAR,a jacket.,,,32
12424,NewEngland/32/19.cha,CAR,and a hat.,,,32
12425,NewEngland/32/19.cha,CAR,and some shoes.,,,32
12426,NewEngland/32/19.cha,CHI,and and some.,-1.0,object,32
12427,NewEngland/32/19.cha,CHI,is this a raincoat?,1.0,,32
12428,NewEngland/32/19.cha,CAR,looks like a raincoat to me.,,,32
12429,NewEngland/32/19.cha,CAR,looks like a raincoat to me.,,,32
12430,NewEngland/32/19.cha,CHI,can you go in the snow with this?,1.0,,32
12431,NewEngland/32/19.cha,CAR,yeah you can go in the snow.,,,32
12432,NewEngland/32/19.cha,CAR,or you can go in the rain.,,,32
12433,NewEngland/32/19.cha,CAR,what do you think?,,,32
12434,NewEngland/32/19.cha,CHI,I wanna go in the snow with this today.,1.0,,32
12435,NewEngland/32/19.cha,CAR,yeah.,,,32
12436,NewEngland/32/19.cha,CAR,well as soon as the snow comes.,,,32
12437,NewEngland/32/19.cha,CAR,but it's been really hot out so I don't think there's going to be any snow today.,,,32
12438,NewEngland/32/19.cha,CAR,in the summertime though you don't go in the snow.,,,32
12439,NewEngland/32/19.cha,CAR,but you can go swimming in a pool.,,,32
12440,NewEngland/32/19.cha,CHI,no in my pool.,0.0,,32
12441,NewEngland/32/19.cha,CAR,alright.,,,32
12442,NewEngland/32/19.cha,CAR,we can do that when we go home.,,,32
12443,NewEngland/32/19.cha,CHI,no!,,,32
12444,NewEngland/32/19.cha,CHI,no!,,,32
12445,NewEngland/32/19.cha,CAR,what?,,,32
12446,NewEngland/32/19.cha,CHI,I wanna I wanna I wanna go to Jared's.,1.0,,32
12447,NewEngland/32/19.cha,CAR,yeah well we'll go get Jamie and then we'll go in Jared's pool.,,,32
12448,NewEngland/32/19.cha,CAR,I wanna.,,,32
12449,NewEngland/32/19.cha,CAR,you wanna see the rest of those pictures in that book?,,,32
12450,NewEngland/32/19.cha,CHI,I wanna bring it to Jared's.,1.0,,32
12451,NewEngland/32/19.cha,CAR,I don't think that we could borrow it.,,,32
12452,NewEngland/32/19.cha,CHI,I wanna borrow it.,1.0,,32
12453,NewEngland/32/19.cha,CAR,oh you can ask Miss Gibbons.,,,32
12454,NewEngland/32/19.cha,CAR,alright.,,,32
12455,NewEngland/32/19.cha,CAR,I wanna see what else is in this last couple of pages.,,,32
12456,NewEngland/32/19.cha,CAR,I'm so curious to see.,,,32
